,Date;Open;High;Low;Close;Volume
0,2004.06.11 00:00;384;384.8;382.8;384.1;272
1,2004.06.14 00:00;384.3;385.8;381.8;382.8;1902
2,2004.06.15 00:00;382.8;388.8;381.1;388.6;1951
3,2004.06.16 00:00;387.1;389.8;382.6;383.8;2014
4,2004.06.17 00:00;383.6;389.3;383;387.6;1568
5,2004.06.18 00:00;388.6;395.8;385.8;394.3;2257
6,2004.06.21 00:00;394.3;396.8;392.1;393.1;1674
7,2004.06.22 00:00;392.8;396.3;392.3;394.1;1407
8,2004.06.23 00:00;394;396.6;392.3;395.6;1829
9,2004.06.24 00:00;394;402.8;393.1;401.1;1991
10,2004.06.25 00:00;402;402.8;400.1;401.1;1608
11,2004.06.28 00:00;401.8;404.6;398.8;399.8;2124
12,2004.06.29 00:00;399.8;400.5;390.3;391.3;2175
13,2004.06.30 00:00;391.5;396.3;391.1;393.3;2131
14,2004.07.01 00:00;391.6;395.8;391.5;395;1736
15,2004.07.02 00:00;395.1;399.8;391.3;397.8;1516
16,2004.07.06 00:00;397.8;398.8;388.5;392.1;1008
17,2004.07.07 00:00;394.1;403.1;394.1;401.8;792
18,2004.07.08 00:00;401.8;408.6;399.3;407.3;914
19,2004.07.09 00:00;407.3;407.8;405;407.1;793
20,2004.07.12 00:00;407.3;408.3;405;406.6;866
21,2004.07.13 00:00;407.1;407.3;399.6;403.1;1589
22,2004.07.14 00:00;400.8;405.8;400.8;404.8;990
23,2004.07.15 00:00;404.3;405.1;400.8;403.1;1900
24,2004.07.16 00:00;403.1;407.1;401.8;406.1;882
25,2004.07.19 00:00;405.5;407.5;403.8;404.8;858
26,2004.07.20 00:00;405;406.3;398.6;400.8;1707
27,2004.07.21 00:00;399.3;401.6;393.8;396.1;1908
28,2004.07.22 00:00;396;397.8;392.8;393.3;1907
29,2004.07.23 00:00;394.3;395;386.5;389.3;1899
30,2004.07.26 00:00;389.3;392.1;388.1;389.8;1992
31,2004.07.27 00:00;390.5;393.1;385.1;386.6;3054
32,2004.07.28 00:00;386.1;389.6;384.5;387.3;3205
33,2004.07.29 00:00;387.3;390.8;385.3;387.1;2521
34,2004.07.30 00:00;387.1;391.8;386.3;390.5;2803
35,2004.08.02 00:00;390.3;393.8;390.3;391.1;1926
36,2004.08.03 00:00;391.3;394.3;388.1;393.1;3214
37,2004.08.04 00:00;393.8;393.8;389.6;391.8;3037
38,2004.08.05 00:00;391.3;393;389.8;391.8;1900
39,2004.08.06 00:00;391.8;400.3;390.8;398.8;1878
40,2004.08.09 00:00;399.1;400.3;397.1;399.8;1449
41,2004.08.10 00:00;399.6;400.6;397.3;399.1;1442
42,2004.08.11 00:00;398.1;399.1;392.3;394.6;1523
43,2004.08.12 00:00;395.1;397.3;392.8;393.3;1730
44,2004.08.13 00:00;393.5;399.1;391.8;398.1;2692
45,2004.08.16 00:00;398.3;403.1;397.6;401.3;1423
46,2004.08.17 00:00;402.1;404.8;399.6;404.8;1031
47,2004.08.18 00:00;403.8;404.8;401.1;403.8;641
48,2004.08.19 00:00;403.8;407.5;403.1;406.1;1445
49,2004.08.20 00:00;406.1;413.8;404.6;412.2;1898
50,2004.08.23 00:00;411.8;411.8;407.8;409.3;1919
51,2004.08.24 00:00;409.6;409.6;401.6;401.6;1996
52,2004.08.25 00:00;401.8;407.6;401.6;406.8;3058
53,2004.08.26 00:00;406.3;408.8;404.1;406.3;1680
54,2004.08.27 00:00;406.5;408.5;400.8;402.3;2561
55,2004.08.30 00:00;402.3;408.6;402.1;408.1;940
56,2004.08.31 00:00;406.8;410.8;406.3;409.3;1100
57,2004.09.01 00:00;409.6;409.8;405.8;407.8;1866
58,2004.09.02 00:00;407.8;408.3;404.8;405.6;1236
59,2004.09.03 00:00;405.1;406.3;398.6;399.8;1547
60,2004.09.07 00:00;400.6;401.6;396.3;397.8;1421
61,2004.09.08 00:00;397.8;399.8;394.3;399.1;2418
62,2004.09.09 00:00;398.3;400.3;396.6;397.6;2887
63,2004.09.10 00:00;397.8;402.3;397.5;402.3;2744
64,2004.09.13 00:00;401.1;404.3;398.1;403.3;2562
65,2004.09.14 00:00;403.3;406.6;401.6;405.6;1495
66,2004.09.15 00:00;405.3;405.5;402.1;404.6;2017
67,2004.09.16 00:00;403.3;405.3;401.6;403.8;2710
68,2004.09.17 00:00;403.8;406.6;402.5;405;2792
69,2004.09.20 00:00;404.8;405.3;402.8;404.3;1873
70,2004.09.21 00:00;404.5;409.7;403.5;409.3;1498
71,2004.09.22 00:00;408.3;409.3;403.5;406.3;2461
72,2004.09.23 00:00;406.3;411.6;405.6;410.1;2355
73,2004.09.24 00:00;410.1;411;405.8;407.1;1891
74,2004.09.27 00:00;407.3;409.6;406.6;408.8;988
75,2004.09.28 00:00;408.3;412.6;408;411.6;2444
76,2004.09.29 00:00;411.7;413.7;410.2;412.1;3798
77,2004.09.30 00:00;412.2;418.6;410.5;417.8;4044
78,2004.10.01 00:00;417.8;419.3;416.3;419;1356
79,2004.10.04 00:00;418.3;418.8;411.3;418.8;936
80,2004.10.05 00:00;413.6;419.3;412.3;418.3;869
81,2004.10.06 00:00;418.6;419.8;415.6;417.3;1059
82,2004.10.07 00:00;418.1;419.7;416.7;417.1;3365
83,2004.10.08 00:00;417.3;423.3;416.8;422.3;713
84,2004.10.11 00:00;422.5;422.6;420.6;421.6;748
85,2004.10.12 00:00;421.3;422.1;412.6;414.8;909
86,2004.10.13 00:00;414.8;416.1;409.1;415.3;1355
87,2004.10.14 00:00;415.1;418.5;413.8;417.3;1467
88,2004.10.15 00:00;417.3;420.8;417.2;418.3;1030
89,2004.10.18 00:00;418.1;419.8;415.3;415.3;1128
90,2004.10.19 00:00;415.3;420.2;414.3;419.3;1286
91,2004.10.20 00:00;419.3;425.5;419.3;423.1;1002
92,2004.10.21 00:00;423.1;425.8;421.5;423.3;1274
93,2004.10.22 00:00;423.8;424.7;421.5;423.7;1034
94,2004.10.25 00:00;426;430.2;426;427.8;1206
95,2004.10.26 00:00;428.3;428.6;424.3;426.3;1015
96,2004.10.27 00:00;426.1;428.3;422.8;423.8;1267
97,2004.10.28 00:00;423.3;426.8;420.3;423.8;1450
98,2004.10.29 00:00;424.3;428.3;423.3;428.1;1388
99,2004.11.01 00:00;429.6;430.1;425.7;426.8;1246
100,2004.11.02 00:00;426.6;427;416.8;421.1;1255
101,2004.11.03 00:00;420.7;426.8;418.8;426.3;1257
102,2004.11.04 00:00;426.6;432.6;425.3;429.1;1230
103,2004.11.05 00:00;429.1;433.6;424.5;433.1;1493
104,2004.11.08 00:00;433.6;434.8;430.7;431.6;1067
105,2004.11.09 00:00;432.1;436.2;430.8;434.8;1311
106,2004.11.10 00:00;434.3;437.6;432;433.3;1338
107,2004.11.11 00:00;432.3;435.1;431.6;434.1;869
108,2004.11.12 00:00;433.8;438.5;433.8;437.3;1318
109,2004.11.15 00:00;438.3;439.8;435.2;436;1315
110,2004.11.16 00:00;435.8;440.3;434.8;439.3;2127
111,2004.11.17 00:00;438.1;444.6;438;444.1;2145
112,2004.11.18 00:00;444.6;445.7;439.7;441.6;1204
113,2004.11.19 00:00;441.8;447.8;441.3;446.6;1412
114,2004.11.22 00:00;446.3;448.5;445.6;448.3;811
115,2004.11.23 00:00;448.3;449.2;445.5;447.1;1004
116,2004.11.24 00:00;446.8;449.1;446.7;448.8;1362
117,2004.11.26 00:00;453.6;454.8;449;451.3;349
118,2004.11.29 00:00;451.3;454.3;449;452.8;1042
119,2004.11.30 00:00;452.6;453.3;447.6;450.3;1587
120,2004.12.01 00:00;450.7;455.2;449.8;453.8;1294
121,2004.12.02 00:00;454.3;456.3;446.6;448.3;1264
122,2004.12.06 00:00;455.1;455.8;450.5;451.8;940
123,2004.12.07 00:00;451.6;454.6;449.8;450.3;1473
124,2004.12.08 00:00;449.8;450.1;432.8;439.7;2677
125,2004.12.09 00:00;439.3;440.8;431.5;436.8;4025
126,2004.12.10 00:00;437;437;431.5;433.7;1189
127,2004.12.13 00:00;434.3;439.6;434.1;438.8;951
128,2004.12.14 00:00;438.6;439.1;434.5;435;1188
129,2004.12.15 00:00;435.6;441;434.8;440.8;1047
130,2004.12.16 00:00;440.6;442.3;435.1;436.6;1645
131,2004.12.17 00:00;436.8;441.5;436.8;441;1236
132,2004.12.20 00:00;441.3;443.6;440.3;442.1;704
133,2004.12.21 00:00;441.8;443.1;440.1;441.1;769
134,2004.12.22 00:00;441.2;442.6;438.3;439.2;829
135,2004.12.23 00:00;439.3;442.1;439.2;441.8;701
136,2004.12.27 00:00;442.6;445.1;441.8;443.8;546
137,2004.12.28 00:00;444.3;445.1;442.3;443.3;626
138,2004.12.29 00:00;443.1;443.6;433.1;435.8;1873
139,2004.12.30 00:00;435.7;438.3;433.3;437;925
140,2005.01.03 00:00;437.1;437.3;426.7;428.5;1308
141,2005.01.04 00:00;429.3;429.5;423.7;426.8;1579
142,2005.01.05 00:00;425.3;428;424.8;426.1;1327
143,2005.01.06 00:00;426.1;427.1;420;420.8;1174
144,2005.01.07 00:00;421.7;424.5;416.5;418.6;1473
145,2005.01.10 00:00;419.1;421.3;418.3;419.3;1079
146,2005.01.11 00:00;419.5;422.3;419;421.6;1742
147,2005.01.12 00:00;422;427.3;420.1;425.8;2358
148,2005.01.13 00:00;425.8;426.5;422.7;424.5;1651
149,2005.01.14 00:00;425.1;425.2;420.1;422.6;1711
150,2005.01.17 00:00;421.8;422.6;421;421.2;107
151,2005.01.18 00:00;421.3;423.3;420.8;422.5;779
152,2005.01.19 00:00;422.7;426.6;421.5;422.6;1998
153,2005.01.20 00:00;422.3;422.7;419.6;421.7;1628
154,2005.01.21 00:00;421.5;427.8;420.6;426.7;2070
155,2005.01.24 00:00;426.5;427.6;426;426.8;1143
156,2005.01.25 00:00;426.8;427.3;420.3;421.6;2104
157,2005.01.26 00:00;421.5;427.3;420.8;426.1;1828
158,2005.01.27 00:00;426;427.6;423.6;426;1573
159,2005.01.28 00:00;426.1;427.2;423.5;426.5;1711
160,2005.01.31 00:00;425.5;425.5;419.2;422.1;2276
161,2005.02.01 00:00;422.1;422.1;419.1;420.5;1747
162,2005.02.02 00:00;420.8;422.3;419.6;421.3;1294
163,2005.02.03 00:00;420.8;421.2;414.2;416.8;1960
164,2005.02.04 00:00;416.7;417.3;413.3;414.2;1761
165,2005.02.07 00:00;413.8;415.7;412.2;413;1850
166,2005.02.08 00:00;412.7;413.8;410.2;412.3;1915
167,2005.02.09 00:00;412.2;413.3;409.8;412.8;1579
168,2005.02.10 00:00;413.1;418.3;411.3;417.2;2231
169,2005.02.11 00:00;416.8;421.6;415.8;420.3;1894
170,2005.02.14 00:00;420.5;425.8;420.5;425.3;2289
171,2005.02.15 00:00;424.7;426.8;423.2;424.8;2146
172,2005.02.16 00:00;424.8;425.5;421.6;424.7;2130
173,2005.02.17 00:00;424.1;428.1;423.7;426.6;1903
174,2005.02.18 00:00;426.2;427.7;425.3;426.8;1485
175,2005.02.22 00:00;430.1;435.5;429.8;434.8;2003
176,2005.02.23 00:00;434.3;435.3;431.2;433.3;2065
177,2005.02.24 00:00;433.1;436.3;431.8;433.2;2008
178,2005.02.25 00:00;432.8;435.2;430.6;434.8;1926
179,2005.02.28 00:00;434.6;437.7;434.5;435;2174
180,2005.03.01 00:00;435;435.1;430.3;431.8;2032
181,2005.03.02 00:00;432.1;433.2;428.3;432.6;1164
182,2005.03.03 00:00;431.8;433.1;428.6;429.2;1575
183,2005.03.04 00:00;429.2;434.8;428.7;433.8;2059
184,2005.03.07 00:00;433.8;434.8;431.8;434;1385
185,2005.03.08 00:00;434.3;440.3;433.8;440;711
186,2005.03.09 00:00;439.8;442.1;438.5;440.1;1325
187,2005.03.10 00:00;439.7;442.3;439.5;441.6;1021
188,2005.03.11 00:00;441.8;446.6;439.6;444.3;896
189,2005.03.14 00:00;444.8;444.8;439.6;440;984
190,2005.03.15 00:00;440.1;443.8;439.2;440.2;879
191,2005.03.16 00:00;440.1;443.5;439.3;442.7;976
192,2005.03.17 00:00;442.6;443.6;437.1;438.3;969
193,2005.03.18 00:00;438.5;439.3;435.5;438.8;867
194,2005.03.21 00:00;439.2;439.2;428.7;430.8;959
195,2005.03.22 00:00;431.1;432.1;425.6;426.3;1225
196,2005.03.23 00:00;425.8;428.2;423.5;424.8;1455
197,2005.03.24 00:00;424.7;426;423.6;423.8;1424
198,2005.03.28 00:00;424.3;426.1;423.1;425.8;479
199,2005.03.29 00:00;425.5;427.3;425.1;425.3;1028
200,2005.03.30 00:00;425.2;427.6;424.8;425.3;1789
201,2005.03.31 00:00;425.3;428.5;425.2;427.8;1479
202,2005.04.01 00:00;427.7;428.3;424;425.1;1624
203,2005.04.04 00:00;425.1;426.2;421.8;423.3;1620
204,2005.04.05 00:00;423.3;425.1;422;424;1478
205,2005.04.06 00:00;424.1;426.8;423.3;426.3;1533
206,2005.04.07 00:00;425.7;428;424.7;425.3;1679
207,2005.04.08 00:00;424.8;427;423.8;426.1;1297
208,2005.04.11 00:00;425.8;429.3;425.3;427.5;1542
209,2005.04.12 00:00;427.8;429.6;425.7;427.7;1522
210,2005.04.13 00:00;427.8;429;426.3;428.1;1791
211,2005.04.14 00:00;428.3;428.8;421.8;423.8;1785
212,2005.04.15 00:00;422.8;425.3;421.7;423.8;1695
213,2005.04.18 00:00;424;427.6;422.8;426.5;1126
214,2005.04.19 00:00;426.3;433.5;425.7;433.1;1788
215,2005.04.20 00:00;433.1;435.2;431;433.5;1566
216,2005.04.21 00:00;433.6;434.7;431.2;431.8;1629
217,2005.04.22 00:00;432.5;435;431.2;433.7;1352
218,2005.04.25 00:00;433.7;434.3;431.7;433.8;1463
219,2005.04.26 00:00;433.6;437.2;433.5;436.1;1557
220,2005.04.27 00:00;436.3;436.3;431.1;431.8;1643
221,2005.04.28 00:00;431.8;433.3;429.8;430.6;1634
222,2005.04.29 00:00;430.8;436.3;430.3;434;1646
223,2005.05.02 00:00;433.8;434.1;427.8;428.7;1478
224,2005.05.03 00:00;428.3;429.6;425.3;426.8;1712
225,2005.05.04 00:00;426;429.3;425.8;428.3;1706
226,2005.05.05 00:00;429.5;430.8;427.3;429.6;2019
227,2005.05.06 00:00;429.8;430.7;423.2;425.3;1643
228,2005.05.09 00:00;425.3;425.8;423.8;425.3;2212
229,2005.05.10 00:00;425.5;427.5;425.3;425.8;1866
230,2005.05.11 00:00;425.8;428;424.6;426.6;3002
231,2005.05.12 00:00;426.6;426.7;420;420.8;1919
232,2005.05.13 00:00;420.8;422.1;418.2;419.3;1834
233,2005.05.16 00:00;419.8;420.2;417.6;418.7;1596
234,2005.05.17 00:00;419;420.8;417.7;417.8;1712
235,2005.05.18 00:00;418.3;421.3;418;420.8;2207
236,2005.05.19 00:00;420.6;422.8;418.7;420.1;1512
237,2005.05.20 00:00;420.3;420.7;416.3;417.1;747
238,2005.05.23 00:00;417.2;417.8;415.8;416.3;1251
239,2005.05.24 00:00;417;418.8;415.3;417.7;1551
240,2005.05.25 00:00;417.3;419.1;416.2;418.3;1447
241,2005.05.26 00:00;418.1;419.6;416.1;417;1619
242,2005.05.27 00:00;417.1;419.8;416.8;419.6;956
243,2005.05.31 00:00;417.1;417.3;413.3;416.8;525
244,2005.06.01 00:00;416.6;417.3;414.2;414.5;791
245,2005.06.02 00:00;416.1;423.1;415.8;421.3;987
246,2005.06.03 00:00;421.5;424.3;421.2;421.8;808
247,2005.06.06 00:00;422.3;426.8;422.1;425.6;962
248,2005.06.07 00:00;425.6;427.1;423.8;424.1;667
249,2005.06.08 00:00;424.1;426.1;422.6;423.2;657
250,2005.06.09 00:00;423;424.5;420.6;423.2;671
251,2005.06.10 00:00;423.3;427.8;421.7;426.6;892
252,2005.06.13 00:00;425.8;430.2;423.5;428.2;966
253,2005.06.14 00:00;427.7;427.7;426;426.3;595
254,2005.06.15 00:00;426.6;429.5;425.5;428.3;672
255,2005.06.16 00:00;428.1;435.8;427.8;435.1;924
256,2005.06.17 00:00;435.3;438.8;435;437.1;982
257,2005.06.20 00:00;437;440.8;436.8;437.6;683
258,2005.06.21 00:00;437.3;438.5;433.6;438;806
259,2005.06.22 00:00;438.1;438.6;435.8;437.7;589
260,2005.06.23 00:00;437.8;441.8;435.3;440.6;981
261,2005.06.24 00:00;440.3;443.2;437.8;439.3;916
262,2005.06.27 00:00;439.3;439.8;438.1;439.3;579
263,2005.06.28 00:00;439.1;439.5;434.8;435.1;693
264,2005.06.29 00:00;435.3;437.8;433.5;436.6;658
265,2005.06.30 00:00;436.8;438.3;434.3;434.5;803
266,2005.07.01 00:00;434.2;436.2;426.3;426.8;787
267,2005.07.04 00:00;427.2;427.6;425.8;426.5;114
268,2005.07.05 00:00;426.5;426.5;421.3;423.2;655
269,2005.07.06 00:00;423.3;424.3;422.8;423.2;560
270,2005.07.07 00:00;423.2;428.3;421.5;424;837
271,2005.07.08 00:00;424.1;424.5;421.6;422.6;617
272,2005.07.11 00:00;423.3;426.1;423.2;425.3;603
273,2005.07.12 00:00;425.8;427.3;424.5;426.3;845
274,2005.07.13 00:00;426.3;427.1;422.8;423.6;663
275,2005.07.14 00:00;423.6;424.2;418.6;419.2;965
276,2005.07.15 00:00;419.2;421.1;417.8;421.1;752
277,2005.07.18 00:00;421.3;422.3;419.8;420.6;506
278,2005.07.19 00:00;420.8;421.6;418.5;419.6;655
279,2005.07.20 00:00;419.8;422.8;419.6;422.8;624
280,2005.07.21 00:00;422.5;425.3;422.5;425.3;623
281,2005.07.22 00:00;425.8;426.5;423.8;424.5;570
282,2005.07.25 00:00;424.7;426.5;423.8;425.3;681
283,2005.07.26 00:00;425.3;425.6;422;422.8;854
284,2005.07.27 00:00;423;425.3;421.5;425.1;657
285,2005.07.28 00:00;424.5;428.8;424.1;427.6;836
286,2005.07.29 00:00;427.5;430.3;426.8;429.3;822
287,2005.08.01 00:00;429.2;432.1;428.6;431.3;893
288,2005.08.02 00:00;431.3;432.8;430.6;431.6;783
289,2005.08.03 00:00;432.45;437.1;431.1;436.2;1083
290,2005.08.04 00:00;436.3;438.8;435.1;437;1190
291,2005.08.05 00:00;437;438.8;436.5;436.8;856
292,2005.08.08 00:00;436.7;437.3;433.8;434.6;914
293,2005.08.09 00:00;434.3;435.3;432.6;434.6;691
294,2005.08.10 00:00;434.5;437.1;434;436.8;650
295,2005.08.11 00:00;437;446.8;436.8;445.3;1103
296,2005.08.12 00:00;446;449.1;443.5;445.7;934
297,2005.08.15 00:00;445.7;445.7;440.8;442.3;661
298,2005.08.16 00:00;441.8;446.5;440;445.8;934
299,2005.08.17 00:00;445.3;445.7;437.8;440.3;1022
300,2005.08.18 00:00;439.8;442;437.5;439.3;884
301,2005.08.19 00:00;438.2;440.2;435.6;435.8;817
302,2005.08.22 00:00;436.1;440.2;435.5;437.6;774
303,2005.08.23 00:00;437.7;440;437.5;438.7;875
304,2005.08.24 00:00;439.2;440.3;435.3;437;948
305,2005.08.25 00:00;437.1;439.5;436.8;437.8;690
306,2005.08.26 00:00;438;439.6;436;437.2;648
307,2005.08.29 00:00;438.1;440.2;436;436.1;662
308,2005.08.30 00:00;436.2;437.1;429;431.2;989
309,2005.08.31 00:00;431;435;430.6;434.6;703
310,2005.09.01 00:00;434.8;444.8;434.3;442.8;887
