,Date;Open;High;Low;Close;Volume
0,2004.06.06 00:00;384;384.8;382.8;384.1;272
1,2004.06.13 00:00;384.3;395.8;381.1;394.3;9692
2,2004.06.20 00:00;394.3;402.8;392.1;401.1;8509
3,2004.06.27 00:00;401.8;404.6;390.3;397.8;9682
4,2004.07.04 00:00;397.8;408.6;388.5;407.1;3507
5,2004.07.11 00:00;407.3;408.3;399.6;406.1;6227
6,2004.07.18 00:00;405.5;407.5;386.5;389.3;8279
7,2004.07.25 00:00;389.3;393.1;384.5;390.5;13575
8,2004.08.01 00:00;390.3;400.3;388.1;398.8;11955
9,2004.08.08 00:00;399.1;400.6;391.8;398.1;8836
10,2004.08.15 00:00;398.3;413.8;397.6;412.2;6438
11,2004.08.22 00:00;411.8;411.8;400.8;402.3;11214
12,2004.08.29 00:00;402.3;410.8;398.6;399.8;6689
13,2004.09.05 00:00;400.6;402.3;394.3;402.3;9470
14,2004.09.12 00:00;401.1;406.6;398.1;405;11576
15,2004.09.19 00:00;404.8;411.6;402.8;407.1;10078
16,2004.09.26 00:00;407.3;419.3;406.6;419;12630
17,2004.10.03 00:00;418.3;423.3;411.3;422.3;6942
18,2004.10.10 00:00;422.5;422.6;409.1;418.3;5509
19,2004.10.17 00:00;418.1;425.8;414.3;423.7;5724
20,2004.10.24 00:00;426;430.2;420.3;428.1;6326
21,2004.10.31 00:00;429.6;433.6;416.8;433.1;6481
22,2004.11.07 00:00;433.6;438.5;430.7;437.3;5903
23,2004.11.14 00:00;438.3;447.8;434.8;446.6;8203
24,2004.11.21 00:00;446.3;454.8;445.5;451.3;3526
25,2004.11.28 00:00;451.3;456.3;446.6;448.3;5187
26,2004.12.05 00:00;455.1;455.8;431.5;433.7;10304
27,2004.12.12 00:00;434.3;442.3;434.1;441;6067
28,2004.12.19 00:00;441.3;443.6;438.3;441.8;3003
29,2004.12.26 00:00;442.6;445.1;433.1;437;3970
30,2005.01.02 00:00;437.1;437.3;416.5;418.6;6861
31,2005.01.09 00:00;419.1;427.3;418.3;422.6;8541
32,2005.01.16 00:00;421.8;427.8;419.6;426.7;6582
33,2005.01.23 00:00;426.5;427.6;420.3;426.5;8359
34,2005.01.30 00:00;425.5;425.5;413.3;414.2;9038
35,2005.02.06 00:00;413.8;421.6;409.8;420.3;9469
36,2005.02.13 00:00;420.5;428.1;420.5;426.8;9953
37,2005.02.20 00:00;430.1;436.3;429.8;434.8;8002
38,2005.02.27 00:00;434.6;437.7;428.3;433.8;9004
39,2005.03.06 00:00;433.8;446.6;431.8;444.3;5338
40,2005.03.13 00:00;444.8;444.8;435.5;438.8;4675
41,2005.03.20 00:00;439.2;439.2;423.5;423.8;5063
42,2005.03.27 00:00;424.3;428.5;423.1;425.1;6399
